id,character,source_lufs,v10_lufs,v11_lufs,v11_dbtp,gain_vs_v10_db
chuni_097,中2,-16.62,-16.67,-11.87,-2.08,+4.80
chuni_098,中2,-16.99,-16.48,-12.37,-1.04,+4.11
chuni_099,中2,-16.05,-16.54,-11.97,-1.28,+4.57
chuni_100,中2,-16.15,-16.59,-12.55,-1.05,+4.04
kanon_001,花音,-13.65,-16.54,-12.70,-2.20,+3.84
kanon_002,花音,-13.67,-16.41,-11.77,-1.38,+4.64
kanon_003,花音,-14.12,-16.41,-12.27,-0.59,+4.14
kanon_004,花音,-12.96,-16.44,-11.75,-2.63,+4.69
kanon_005,花音,-13.58,-16.40,-11.97,-1.05,+4.43
kanon_006,花音,-14.34,-16.43,-12.38,-0.89,+4.05
kanon_007,花音,-14.27,-16.38,-12.10,-0.78,+4.28
kanon_008,花音,-14.37,-16.38,-12.04,-1.08,+4.34
kanon_009,花音,-14.67,-16.42,-13.02,-2.05,+3.40
kanon_010,花音,-14.93,-16.45,-11.96,-1.15,+4.49
kanon_011,花音,-13.17,-16.43,-13.25,-2.51,+3.18
kanon_012,花音,-14.66,-16.41,-11.94,-1.21,+4.47
kanon_013,花音,-15.75,-16.58,-12.19,-1.53,+4.39
kanon_014,花音,-12.42,-16.67,-12.02,-1.50,+4.65
kanon_015,花音,-13.31,-16.41,-11.80,-1.71,+4.61
kanon_016,花音,-11.50,-16.41,-11.81,-0.76,+4.60
kanon_017,花音,-13.17,-16.42,-11.95,-0.98,+4.47
kanon_018,花音,-12.82,-16.42,-11.86,-1.14,+4.56
kanon_019,花音,-13.44,-16.43,-12.29,-2.09,+4.14
kanon_020,花音,-13.48,-16.41,-12.10,-2.57,+4.31
kanon_021,花音,-13.73,-16.43,-12.00,-1.35,+4.43
kanon_022,花音,-13.95,-16.42,-11.99,-2.53,+4.43
kanon_023,花音,-13.04,-16.47,-11.72,-3.09,+4.75
kanon_024,花音,-14.38,-16.43,-11.88,-1.67,+4.55
kanon_025,花音,-11.79,-16.38,-12.16,-1.30,+4.22
kanon_026,花音,-15.69,-16.61,-11.94,-1.43,+4.67
kanon_027,花音,-14.60,-16.49,-12.50,-0.85,+3.99
kanon_028,花音,-13.56,-16.42,-11.81,-0.96,+4.61
kanon_029,花音,-12.53,-16.54,-11.99,-1.00,+4.55
kanon_030,花音,-14.09,-16.34,-11.80,-2.15,+4.54
kanon_031,花音,-13.70,-16.43,-11.91,-2.34,+4.52
kanon_032,花音,-14.84,-16.49,-12.01,-2.02,+4.48
kanon_033,花音,-15.99,-16.54,-12.16,-2.29,+4.38
kanon_034,花音,-13.51,-16.52,-11.99,-1.52,+4.53
kanon_035,花音,-14.69,-16.44,-12.07,-1.04,+4.37
kanon_036,花音,-13.80,-16.42,-11.98,-0.80,+4.44
kanon_037,花音,-14.38,-16.46,-11.90,-0.75,+4.56
kanon_038,花音,-13.40,-16.44,-11.99,-0.80,+4.45
kanon_039,花音,-13.82,-16.43,-12.16,-1.49,+4.27
kanon_040,花音,-13.23,-16.45,-12.06,-2.50,+4.39
kanon_041,花音,-16.58,-16.68,-12.25,-0.58,+4.43
kanon_042,花音,-13.27,-16.40,-12.08,-1.17,+4.32
kanon_043,花音,-14.25,-16.47,-12.07,-2.62,+4.40
kanon_044,花音,-14.36,-16.41,-12.51,-1.98,+3.90
kanon_045,花音,-14.37,-16.43,-12.57,-1.57,+3.86
kanon_046,花音,-13.72,-16.39,-11.93,-1.50,+4.46
kanon_047,花音,-14.62,-16.44,-12.51,-1.64,+3.93
kanon_048,花音,-15.52,-16.45,-12.11,-1.82,+4.34
kanon_049,花音,-14.23,-16.42,-12.49,-1.17,+3.93
kanon_050,花音,-13.33,-16.42,-11.89,-2.24,+4.53
kanon_051,花音,-14.70,-16.45,-11.92,-1.43,+4.53
kanon_052,花音,-12.61,-16.41,-11.64,-1.22,+4.77
kanon_053,花音,-14.40,-16.33,-11.85,-1.26,+4.48
kanon_054,花音,-13.56,-16.45,-12.90,-2.67,+3.55
kanon_055,花音,-15.73,-16.43,-12.05,-0.74,+4.38
kanon_056,花音,-13.34,-16.43,-11.98,-2.65,+4.45
kanon_057,花音,-15.04,-16.44,-12.11,-1.29,+4.33
kanon_058,花音,-15.07,-16.40,-12.65,-1.88,+3.75
kanon_059,花音,-14.83,-16.43,-12.20,-0.61,+4.23
kanon_060,花音,-15.95,-16.45,-12.08,-0.50,+4.37
kanon_061,花音,-13.61,-16.61,-12.28,-1.98,+4.33
kanon_062,花音,-14.15,-16.42,-11.96,-0.67,+4.46
kanon_063,花音,-13.76,-16.42,-12.02,-1.03,+4.40
kanon_064,花音,-14.41,-16.42,-12.15,-1.32,+4.27
kanon_065,花音,-12.66,-16.41,-11.89,-1.23,+4.52
kanon_066,花音,-14.63,-16.44,-12.15,-2.32,+4.29
kanon_067,花音,-13.97,-16.38,-12.08,-2.30,+4.30
kanon_068,花音,-13.40,-16.40,-12.09,-2.55,+4.31
kanon_069,花音,-13.51,-16.43,-12.05,-2.67,+4.38
kanon_070,花音,-13.02,-16.37,-12.09,-2.04,+4.28
kanon_071,花音,-14.53,-16.45,-11.90,-2.09,+4.55
kanon_072,花音,-15.07,-16.51,-12.70,-1.88,+3.81
kanon_073,花音,-14.49,-16.43,-12.29,-2.11,+4.14
kanon_074,花音,-13.99,-16.36,-12.15,-1.12,+4.21
kanon_075,花音,-13.75,-16.45,-12.09,-2.50,+4.36
kanon_076,花音,-12.34,-16.26,-11.86,-2.98,+4.40
kanon_077,花音,-15.71,-16.53,-12.19,-1.58,+4.34
kanon_078,花音,-12.13,-16.41,-11.95,-2.50,+4.46
kanon_079,花音,-15.04,-16.52,-12.22,-1.90,+4.30
kanon_080,花音,-13.29,-16.44,-12.07,-2.86,+4.37
kanon_081,花音,-15.61,-16.54,-11.93,-2.48,+4.61
kanon_082,花音,-14.57,-16.44,-12.08,-1.93,+4.36
kanon_083,花音,-14.23,-16.45,-11.81,-1.11,+4.64
kanon_084,花音,-13.54,-16.43,-11.87,-2.19,+4.56
kanon_085,花音,-15.14,-16.52,-11.95,-0.87,+4.57
kanon_086,花音,-12.09,-16.43,-11.89,-1.83,+4.54
kanon_087,花音,-14.22,-16.45,-11.83,-2.75,+4.62
kanon_088,花音,-15.08,-16.73,-11.97,-1.28,+4.76
kanon_089,花音,-12.19,-16.44,-11.75,-1.48,+4.69
kanon_090,花音,-10.91,-16.40,-11.67,-1.39,+4.73
kanon_091,花音,-15.64,-16.46,-12.59,-1.42,+3.87
kanon_092,花音,-15.62,-16.49,-12.05,-1.26,+4.44
kanon_093,花音,-12.93,-16.44,-11.97,-1.54,+4.47
kanon_094,花音,-13.47,-16.43,-11.88,-1.48,+4.55
kanon_095,花音,-12.38,-16.36,-12.02,-1.86,+4.34
kanon_096,花音,-13.74,-16.53,-12.13,-1.90,+4.40
kanon_097,花音,-14.38,-16.40,-12.07,-1.96,+4.33
kanon_098,花音,-16.45,-16.43,-12.19,-0.98,+4.24
kanon_099,花音,-13.39,-16.37,-11.84,-0.66,+4.53
kanon_100,花音,-15.06,-16.45,-11.88,-1.31,+4.57
