id,character,input_lufs,gain_db,output_lufs,output_dbtp,deviation_db
chuni_040,中2,-14.41,-1.59,-16.42,-2.56,-0.42
chuni_041,中2,-14.77,-1.23,-16.47,-2.29,-0.47
chuni_042,中2,-15.30,-0.70,-16.51,-2.03,-0.51
chuni_043,中2,-16.23,+0.23,-16.75,-2.25,-0.75
chuni_044,中2,-14.72,-1.28,-16.57,-2.26,-0.57
chuni_045,中2,-16.56,+0.56,-16.51,-2.25,-0.51
chuni_046,中2,-16.27,+0.27,-16.71,-2.00,-0.71
chuni_047,中2,-16.09,+0.09,-16.52,-1.92,-0.52
chuni_048,中2,-17.01,+1.01,-16.92,-1.97,-0.92
chuni_049,中2,-15.61,-0.39,-16.69,-2.15,-0.69
chuni_050,中2,-16.37,+0.37,-16.69,-2.16,-0.69
chuni_051,中2,-16.32,+0.32,-16.72,-2.16,-0.72
chuni_052,中2,-14.42,-1.58,-16.45,-2.38,-0.45
chuni_053,中2,-14.50,-1.50,-16.46,-2.05,-0.46
chuni_054,中2,-16.87,+0.87,-16.99,-1.95,-0.99
chuni_055,中2,-16.21,+0.21,-16.64,-1.77,-0.64
chuni_056,中2,-16.84,+0.84,-16.71,-2.31,-0.71
chuni_057,中2,-15.79,-0.21,-16.66,-2.03,-0.66
chuni_058,中2,-15.10,-0.90,-16.44,-2.10,-0.44
chuni_059,中2,-13.97,-2.03,-16.42,-2.28,-0.42
chuni_060,中2,-14.84,-1.16,-16.54,-2.15,-0.54
chuni_061,中2,-14.42,-1.58,-16.44,-2.20,-0.44
chuni_062,中2,-12.84,-3.16,-16.43,-3.90,-0.43
chuni_063,中2,-13.92,-2.08,-16.41,-2.20,-0.41
chuni_064,中2,-14.80,-1.20,-16.51,-2.31,-0.51
chuni_065,中2,-16.45,+0.45,-16.72,-2.06,-0.72
chuni_066,中2,-16.06,+0.06,-16.60,-2.08,-0.60
chuni_067,中2,-14.52,-1.48,-16.47,-2.54,-0.47
chuni_068,中2,-17.83,+1.83,-16.95,-2.40,-0.95
chuni_069,中2,-13.50,-2.50,-16.43,-3.01,-0.43
chuni_070,中2,-14.07,-1.93,-16.41,-2.28,-0.41
chuni_071,中2,-14.77,-1.23,-16.49,-2.37,-0.49
chuni_072,中2,-15.24,-0.76,-16.61,-1.53,-0.61
chuni_073,中2,-15.11,-0.89,-16.51,-1.97,-0.51
chuni_074,中2,-13.76,-2.24,-16.43,-2.76,-0.43
chuni_075,中2,-14.72,-1.28,-16.59,-2.22,-0.59
chuni_076,中2,-14.82,-1.18,-16.29,-2.29,-0.29
chuni_077,中2,-13.30,-2.70,-16.38,-2.90,-0.38
chuni_078,中2,-12.08,-3.92,-16.40,-4.23,-0.40
chuni_079,中2,-15.60,-0.40,-16.64,-2.21,-0.64
chuni_080,中2,-15.16,-0.84,-16.49,-2.10,-0.49
chuni_081,中2,-16.21,+0.21,-16.56,-2.13,-0.56
chuni_082,中2,-15.17,-0.83,-16.48,-2.21,-0.48
chuni_083,中2,-13.80,-2.20,-16.41,-2.54,-0.41
chuni_084,中2,-14.23,-1.77,-16.43,-2.49,-0.43
chuni_085,中2,-14.90,-1.10,-16.53,-1.92,-0.53
chuni_086,中2,-12.75,-3.25,-16.42,-3.72,-0.42
chuni_087,中2,-15.53,-0.47,-16.38,-2.07,-0.38
chuni_088,中2,-14.35,-1.65,-16.43,-2.46,-0.43
chuni_089,中2,-14.44,-1.56,-16.45,-2.19,-0.45
chuni_090,中2,-16.39,+0.39,-16.60,-2.10,-0.60
chuni_091,中2,-15.37,-0.63,-16.50,-2.26,-0.50
chuni_092,中2,-15.76,-0.24,-16.53,-2.21,-0.53
chuni_093,中2,-16.32,+0.32,-16.58,-2.03,-0.58
chuni_094,中2,-15.86,-0.14,-16.73,-2.15,-0.73
chuni_095,中2,-14.94,-1.06,-16.48,-2.28,-0.48
chuni_096,中2,-15.72,-0.28,-16.59,-2.08,-0.59
chuni_097,中2,-16.62,+0.62,-16.67,-2.08,-0.67
chuni_098,中2,-16.99,+0.99,-16.48,-2.21,-0.48
chuni_099,中2,-16.05,+0.05,-16.54,-2.15,-0.54
chuni_100,中2,-16.15,+0.15,-16.59,-2.13,-0.59
kanon_001,花音,-13.65,-2.35,-16.54,-2.66,-0.54
kanon_002,花音,-13.67,-2.33,-16.41,-2.73,-0.41
kanon_003,花音,-14.12,-1.88,-16.41,-2.22,-0.41
kanon_004,花音,-12.96,-3.04,-16.44,-3.23,-0.44
kanon_005,花音,-13.58,-2.42,-16.40,-2.72,-0.40
kanon_006,花音,-14.34,-1.66,-16.43,-2.41,-0.43
kanon_007,花音,-14.27,-1.73,-16.38,-2.14,-0.38
kanon_008,花音,-14.37,-1.63,-16.38,-2.18,-0.38
kanon_009,花音,-14.67,-1.33,-16.42,-2.51,-0.42
kanon_010,花音,-14.93,-1.07,-16.45,-2.33,-0.45
kanon_011,花音,-13.17,-2.83,-16.43,-3.29,-0.43
kanon_012,花音,-14.66,-1.34,-16.41,-1.92,-0.41
kanon_013,花音,-15.75,-0.25,-16.58,-2.16,-0.58
kanon_014,花音,-12.42,-3.58,-16.67,-3.83,-0.67
kanon_015,花音,-13.31,-2.69,-16.41,-3.11,-0.41
kanon_016,花音,-11.50,-4.50,-16.41,-4.99,-0.41
kanon_017,花音,-13.17,-2.83,-16.42,-3.33,-0.42
kanon_018,花音,-12.82,-3.18,-16.42,-3.61,-0.42
kanon_019,花音,-13.44,-2.56,-16.43,-2.76,-0.43
kanon_020,花音,-13.48,-2.52,-16.41,-2.80,-0.41
kanon_021,花音,-13.73,-2.27,-16.43,-2.65,-0.43
kanon_022,花音,-13.95,-2.05,-16.42,-2.60,-0.42
kanon_023,花音,-13.04,-2.96,-16.47,-3.62,-0.47
kanon_024,花音,-14.38,-1.62,-16.43,-2.17,-0.43
kanon_025,花音,-11.79,-4.21,-16.38,-4.32,-0.38
kanon_026,花音,-15.69,-0.31,-16.61,-2.13,-0.61
kanon_027,花音,-14.60,-1.40,-16.49,-1.91,-0.49
kanon_028,花音,-13.56,-2.44,-16.42,-2.60,-0.42
kanon_029,花音,-12.53,-3.47,-16.54,-3.85,-0.54
kanon_030,花音,-14.09,-1.91,-16.34,-2.53,-0.34
kanon_031,花音,-13.70,-2.30,-16.43,-2.75,-0.43
kanon_032,花音,-14.84,-1.16,-16.49,-2.21,-0.49
kanon_033,花音,-15.99,-0.01,-16.54,-2.40,-0.54
kanon_034,花音,-13.51,-2.49,-16.52,-2.83,-0.52
kanon_035,花音,-14.69,-1.31,-16.44,-2.38,-0.44
kanon_036,花音,-13.80,-2.20,-16.42,-2.63,-0.42
kanon_037,花音,-14.38,-1.62,-16.46,-2.40,-0.46
kanon_038,花音,-13.40,-2.60,-16.44,-2.92,-0.44
kanon_039,花音,-13.82,-2.18,-16.43,-2.97,-0.43
kanon_040,花音,-13.23,-2.77,-16.45,-2.95,-0.45
kanon_041,花音,-16.58,+0.58,-16.68,-2.24,-0.68
kanon_042,花音,-13.27,-2.73,-16.40,-2.96,-0.40
kanon_043,花音,-14.25,-1.75,-16.47,-2.47,-0.47
kanon_044,花音,-14.36,-1.64,-16.41,-2.45,-0.41
kanon_045,花音,-14.37,-1.63,-16.43,-2.21,-0.43
kanon_046,花音,-13.72,-2.28,-16.39,-2.43,-0.39
kanon_047,花音,-14.62,-1.38,-16.44,-2.34,-0.44
kanon_048,花音,-15.52,-0.48,-16.45,-2.48,-0.45
kanon_049,花音,-14.23,-1.77,-16.42,-1.19,-0.42
kanon_050,花音,-13.33,-2.67,-16.42,-2.80,-0.42
kanon_051,花音,-14.70,-1.30,-16.45,-2.04,-0.45
kanon_052,花音,-12.61,-3.39,-16.41,-3.85,-0.41
kanon_053,花音,-14.40,-1.60,-16.33,-2.99,-0.33
kanon_054,花音,-13.56,-2.44,-16.45,-2.77,-0.45
kanon_055,花音,-15.73,-0.27,-16.43,-1.88,-0.43
kanon_056,花音,-13.34,-2.66,-16.43,-2.98,-0.43
kanon_057,花音,-15.04,-0.96,-16.44,-2.38,-0.44
kanon_058,花音,-15.07,-0.93,-16.40,-2.46,-0.40
kanon_059,花音,-14.83,-1.17,-16.43,-2.26,-0.43
kanon_060,花音,-15.95,-0.05,-16.45,-2.27,-0.45
kanon_061,花音,-13.61,-2.39,-16.61,-2.85,-0.61
kanon_062,花音,-14.15,-1.85,-16.42,-2.16,-0.42
kanon_063,花音,-13.76,-2.24,-16.42,-2.47,-0.42
kanon_064,花音,-14.41,-1.59,-16.42,-2.42,-0.42
kanon_065,花音,-12.66,-3.34,-16.41,-3.60,-0.41
kanon_066,花音,-14.63,-1.37,-16.44,-2.29,-0.44
kanon_067,花音,-13.97,-2.03,-16.38,-2.47,-0.38
kanon_068,花音,-13.40,-2.60,-16.40,-2.95,-0.40
kanon_069,花音,-13.51,-2.49,-16.43,-2.84,-0.43
kanon_070,花音,-13.02,-2.98,-16.37,-3.16,-0.37
kanon_071,花音,-14.53,-1.47,-16.45,-2.51,-0.45
kanon_072,花音,-15.07,-0.93,-16.51,-2.24,-0.51
kanon_073,花音,-14.49,-1.51,-16.43,-2.40,-0.43
kanon_074,花音,-13.99,-2.01,-16.36,-2.38,-0.36
kanon_075,花音,-13.75,-2.25,-16.45,-2.61,-0.45
kanon_076,花音,-12.34,-3.66,-16.26,-3.93,-0.26
kanon_077,花音,-15.71,-0.29,-16.53,-2.29,-0.53
kanon_078,花音,-12.13,-3.87,-16.41,-4.13,-0.41
kanon_079,花音,-15.04,-0.96,-16.52,-2.36,-0.52
kanon_080,花音,-13.29,-2.71,-16.44,-3.33,-0.44
kanon_081,花音,-15.61,-0.39,-16.54,-2.04,-0.54
kanon_082,花音,-14.57,-1.43,-16.44,-2.37,-0.44
kanon_083,花音,-14.23,-1.77,-16.45,-2.39,-0.45
kanon_084,花音,-13.54,-2.46,-16.43,-2.64,-0.43
kanon_085,花音,-15.14,-0.86,-16.52,-2.30,-0.52
kanon_086,花音,-12.09,-3.91,-16.43,-4.54,-0.43
kanon_087,花音,-14.22,-1.78,-16.45,-2.04,-0.45
kanon_088,花音,-15.08,-0.92,-16.73,-2.31,-0.73
kanon_089,花音,-12.19,-3.81,-16.44,-4.12,-0.44
kanon_090,花音,-10.91,-5.09,-16.40,-5.06,-0.40
kanon_091,花音,-15.64,-0.36,-16.46,-2.23,-0.46
kanon_092,花音,-15.62,-0.38,-16.49,-2.26,-0.49
kanon_093,花音,-12.93,-3.07,-16.44,-3.49,-0.44
kanon_094,花音,-13.47,-2.53,-16.43,-3.09,-0.43
kanon_095,花音,-12.38,-3.62,-16.36,-3.63,-0.36
kanon_096,花音,-13.74,-2.26,-16.53,-2.57,-0.53
kanon_097,花音,-14.38,-1.62,-16.40,-2.42,-0.40
kanon_098,花音,-16.45,+0.45,-16.43,-1.92,-0.43
kanon_099,花音,-13.39,-2.61,-16.37,-3.06,-0.37
kanon_100,花音,-15.06,-0.94,-16.45,-2.39,-0.45
